,Effective_Fed_Funds_Rate_MO,Bank_Prime_Loan_Rate_MO,Ten_Yr_Treasury_Constant_Maturity_Rate_WK,Labor_Force_Participation_Rate,Personal_Saving_Rate,All_Employees_Total_Nonfarm,M2_Money_Stock,Commercial_Industrial_Loans_All_Commercial_Banks,Real_M2_Money_Stock
2/1/2020,1.58,4.75,1.5,63.3,7.7,152309,15432.3,-2.6,5952.8
3/1/2020,0.65,3.78,0.87,62.6,12.5,150898,15962,110,6183.2
4/1/2020,0.05,3.25,0.66,60.1,32,130421,16983.9,166.2,6631.1
5/1/2020,0.05,3.25,0.67,60.8,22.7,133040,17850.9,45.5,6977.2
6/1/2020,0.08,3.25,0.73,61.5,18.4,137655,18142.8,-43.4,7059.3
7/1/2020,0.09,3.25,0.62,61.5,17.9,139240,18293.3,-28.5,7079.2
8/1/2020,0.1,3.25,0.65,61.7,14,140774,18365.2,-17.4,7080.8
9/1/2020,0.09,3.25,0.68,61.5,13.2,141820,18591.4,-23.6,7151.9
10/1/2020,0.09,3.25,0.79,61.7,12.8,142493,18743.5,-27.8,7202.1
11/1/2020,0.09,3.25,0.87,61.5,12.1,142761,18959.3,-26.5,7267
12/1/2020,0.09,3.25,0.93,61.5,12,142518,19097.3,-21.6,7288.9
1/1/2021,0.09,3.25,1.08,61.3,19.3,142916,19323,-11.9,7360.6
2/1/2021,0.08,3.25,1.26,61.4,12.8,143443,19559.8,9.8,7420.7
3/1/2021,0.07,3.25,1.61,61.5,26.1,144274,19799.3,0.3,7474
4/1/2021,0.07,3.25,1.64,61.6,12.3,144593,20125.2,-14.1,7544.5
5/1/2021,0.06,3.25,1.62,61.5,9.9,145044,20429.5,-5.2,7610.1
6/1/2021,0.08,3.25,1.52,61.7,8.7,145822,20473.2,-30.2,7564.1
7/1/2021,0.1,3.25,1.32,61.8,9.4,146761,20624.9,-14.2,7582.9
8/1/2021,0.09,3.25,1.28,61.8,8.7,147226,20835.7,-10.3,7638
9/1/2021,0.08,3.25,1.37,61.7,7.2,147706,20965.8,-5.2,7654.9
10/1/2021,0.08,3.25,1.58,61.8,6.6,148566,21146.3,2.4,7649.7
11/1/2021,0.08,3.25,1.56,61.9,6.2,149197,21320.5,6.8,7647.3
12/1/2021,0.08,3.25,1.47,62,6.1,149763,21500.5,18.2,7656.7
1/1/2022,0.08,3.25,1.76,62.2,4.1,150014,21558.8,6.5,7634.4
2/1/2022,0.08,3.25,1.93,62.2,4.1,150876,21614.7,4.6,7596.5
3/1/2022,0.2,3.37,2.13,62.3,3.4,151370,21720.9,19,7553.7
4/1/2022,0.33,3.5,2.75,62.2,3.1,151642,21722.3,14.3,7522.5
5/1/2022,0.77,3.94,2.9,62.3,3.1,151928,21691.2,19.9,7444.8
6/1/2022,1.21,4.38,3.14,62.2,2.7,152348,21650.3,28.1,7339.2
7/1/2022,1.68,4.85,2.9,62.1,3.5,153038,21643,14.2,7337.2
8/1/2022,2.33,5.5,2.9,62.4,3.2,153281,21618.9,10.9,7323.3
9/1/2022,2.56,5.73,3.52,62.3,3,153536,21539.1,10.4,7268.3
10/1/2022,3.08,6.25,3.98,62.3,3,153897,21471.6,10.5,7208.5
11/1/2022,3.78,6.95,3.89,62.1,3.3,154155,21405.1,8.5,7167.3
12/1/2022,4.1,7.27,3.62,62.3,3.4,154291,21309.2,2.7,7131.3
1/1/2023,4.33,7.5,3.53,62.4,4.4,154773,21223,3.8,7065.9
2/1/2023,4.57,7.74,3.75,62.5,4.7,155060,21150.7,-3.6,7014.9
3/1/2023,4.65,7.82,3.66,62.6,5.2,155206,20902.8,2.4,6927.3
4/1/2023,4.83,8,3.46,62.6,5.2,155484,20744.9,-4.5,6845.8
5/1/2023,5.06,8.23,3.57,62.6,5.3,155787,20837.4,-2.9,6868.8
6/1/2023,5.08,8.25,3.75,62.6,4.8,156027,20820.2,-2.7,6848.7
7/1/2023,5.12,8.29,3.9,62.6,4.4,156211,20792.9,-1.6,6825.7
8/1/2023,5.33,8.5,4.17,62.8,4.5,156421,20764.7,0.5,6781.7
9/1/2023,5.33,8.5,4.38,62.8,3.9,156667,20709.9,0.9,6739.6
10/1/2023,5.33,8.5,4.8,62.7,3.8,156832,20690.3,2,6727.9
11/1/2023,5.33,8.5,4.5,62.8,3.7,157014,20703,-3,6721.2
12/1/2023,5.33,8.5,4.02,62.5,3.6,157304,20751.5,-1,6721.3
1/1/2024,5.33,8.5,4.06,62.5,4,157560,20751.1,-2.3,6700.7
2/1/2024,5.33,8.5,4.21,62.5,3.7,157796,20743.9,3,6668.9
3/1/2024,5.33,8.5,4.21,62.7,3.5,158106,20835.8,-6.4,6673.2
4/1/2024,5.33,8.5,4.54,62.7,3.5,158214,20861.4,2,6660.6
5/1/2024,5.33,8.5,4.48,62.5,3.3,158430,20951.8,3.1,6689.1
6/1/2024,5.33,8.5,4.31,62.6,3.1,158548,21025.1,5.9,6716.2
7/1/2024,5.33,8.5,4.25,62.7,2.9,158637,21054.4,-2.2,6715.2
8/1/2024,5.33,8.5,3.87,62.7,,158779,,2.2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
